"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","isRetweet","longitude","latitude"
"10215","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/ihUwJQaRKK",FALSE,0,"yambarnlagos1",2021-01-24 06:30:05,TRUE,"1353228559129718784","1353228562107658242","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10216","<U+300E>UFC 257: Poirier vs. McGregor 2<U+300F><U+30D1><U+30D5><U+30A9>—<U+30DE><U+30F3><U+30B9><U+30DC>—<U+30CA><U+30B9>|MMA IRONMAN|https://t.co/BdzUWSD5sg #UFC #UFC257 #ufcjp #mmajp",FALSE,3,NA,2021-01-24 06:30:05,FALSE,NA,"1353228560526315520",NA,"captude71",3,FALSE,NA,NA
"10217","#UFC257 Dana white et mcgregor dans les vestiaires https://t.co/tmEbFbUO1c",FALSE,104,NA,2021-01-24 06:30:05,FALSE,NA,"1353228559637245952",NA,"manuu926",34,FALSE,NA,NA
"10218","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/8DhR3B4dPc",FALSE,0,"yambarnlagos1",2021-01-24 06:30:04,TRUE,"1353228556097253376","1353228559129718784","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10219","What the ff just haapppend.#UFC257 https://t.co/rvq0SWQXd5",FALSE,1,NA,2021-01-24 06:30:04,FALSE,NA,"1353228557078638593",NA,"MohammadAli247",0,FALSE,NA,NA
"10220","What happened ??!!?? #UFC257 https://t.co/IfYhMac9H1",FALSE,2,NA,2021-01-24 06:30:04,FALSE,NA,"1353228556604743681",NA,"the_CHOFF",0,FALSE,NA,NA
"10221","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/fy20gW9avC",FALSE,0,"yambarnlagos1",2021-01-24 06:30:04,TRUE,"1353228553064771584","1353228556097253376","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10222","Khabib told Dana to “be honest with himself” and he’s levels above these guys <U+0001F602><U+0001F602><U+0001F602> Translation: Khabib is not coming back #UFC257",FALSE,2,NA,2021-01-24 06:30:03,FALSE,NA,"1353228554755059712",NA,"FarrahMadd",0,FALSE,NA,NA
"10223","Dana White watching Dustin Poirier knock Conor McGregor out after stalking Khabib for the rematch for the last 3 mo… https://t.co/YsKrH0WJcZ",FALSE,3,NA,2021-01-24 06:30:03,TRUE,NA,"1353228554109071362",NA,"RHJOfficial",0,FALSE,NA,NA
"10224","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/C3ytG1W3Pk",FALSE,0,"yambarnlagos1",2021-01-24 06:30:03,TRUE,"1353228549533163520","1353228553064771584","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10225","I see no different here. #UFC257 #UFCFightIsland https://t.co/mpu2LOxSVl",FALSE,0,NA,2021-01-24 06:30:03,FALSE,NA,"1353228552691310593",NA,"dionsatryaa",1,FALSE,NA,NA
"10226","#UFC257: Dustin Poirier arruinó el regreso de Conor McGregor.  https://t.co/qlHdmFoPDN",FALSE,162,NA,2021-01-24 06:30:02,FALSE,NA,"1353228550992752640",NA,"ESPNDeportes",21,FALSE,NA,NA
"10227","BueBueno, después de ver la pelea, a mimir como McGregor.

#UFC257 https://t.co/vNZxI49cNR",FALSE,1,NA,2021-01-24 06:30:02,FALSE,NA,"1353228550103416833",NA,"brandon_hoovert",0,FALSE,NA,NA
"10228","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/9ZSg79g0xf",FALSE,0,NA,2021-01-24 06:30:02,TRUE,NA,"1353228549533163520",NA,"yambarnlagos1",0,FALSE,NA,NA
"10229","Lávate las manos con frecuencia. Usa agua y jabón o un desinfectante de manos a base de alcohol #covid #UFC257",FALSE,0,NA,2021-01-24 06:30:01,FALSE,NA,"1353228546844618753",NA,"peznaranjaTweet",0,FALSE,NA,NA
"10230","WOW!!! #UFC257",FALSE,0,NA,2021-01-24 06:30:01,FALSE,NA,"1353228546429378560",NA,"tomjamesdewey",0,FALSE,NA,NA
"10231","Thats it Im done <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> #UFC257 https://t.co/8Vc1az2u9s",FALSE,150,NA,2021-01-24 06:30:01,FALSE,NA,"1353228546181881857",NA,"TheDEEsciple",21,FALSE,NA,NA
"10232","Lol Mcregor got fucked <U+0001F602><U+0001F602> #UFC257",FALSE,0,NA,2021-01-24 06:30:01,FALSE,NA,"1353228545783431169",NA,"S1rtm1",0,FALSE,NA,NA
"10233","I wish some of these Conor Fans would stick around and watch the sport. 

There’s some exciting stuff in the octago… https://t.co/X0o8nHHjj3",FALSE,5,NA,2021-01-24 06:30:01,TRUE,NA,"1353228545355608064",NA,"GomesBolt",0,FALSE,NA,NA
"10234","I’d still hold conor as a top 5 LW, his problem that he doesn’t fight consistently and when he does fight after a w… https://t.co/XEarVCNHFx",FALSE,0,NA,2021-01-24 06:30:01,TRUE,NA,"1353228545171087361",NA,"Mitch_J_Garratt",0,FALSE,NA,NA
"10235","When performing at that level you win some and you lose some. There's no padded records, this guys are fighting the… https://t.co/NgE0zMbMYQ",FALSE,0,NA,2021-01-24 06:30:01,TRUE,NA,"1353228543195492358",NA,"gogue1988",0,FALSE,NA,NA
"10236","<U+0627><U+0631><U+0642><U+062F> <U+0628><U+0633><U+0644><U+0627><U+0645> <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F494> #UFC257 https://t.co/ryrUijOlPU",FALSE,2,NA,2021-01-24 06:30:01,FALSE,NA,"1353228542901964801",NA,"Abdulaziz_z_95",0,FALSE,NA,NA
"10237","If Logan Paul ends up beating Mayweather &amp; Jake securing/ wining a fight against Conor<U+0001F602>

I won’t be able to watch t… https://t.co/HxIKHFiKTf",FALSE,6,NA,2021-01-24 06:30:00,TRUE,NA,"1353228540427304966",NA,"ikramthe1st",0,FALSE,NA,NA
"10238","The world was in shock after #DustinPoirier knocked out #ConorMcGregor at #UFC257

#UFC
https://t.co/PdyfnymnWx",FALSE,0,NA,2021-01-24 06:30:00,FALSE,NA,"1353228539924013057",NA,"News18Sports",0,FALSE,NA,NA
"10239","Pretty good fight tonight, #UFC257live #UFC257 #McGregorPoirier2 #McGregor #Poirier https://t.co/h3FkyuFRg9",FALSE,2,NA,2021-01-24 06:30:00,FALSE,NA,"1353228539617636353",NA,"leonardowvc",1,FALSE,NA,NA
"10240","#UFC257 
Yo después de apostar hasta las escrituras de la casa a favor de Mcgregor https://t.co/13U1z6YO30",FALSE,155,NA,2021-01-24 06:29:59,FALSE,NA,"1353228537008955392",NA,"la_fita2825",30,FALSE,NA,NA
"10241","I'll leave this here. 
<U+0001F48E>
#UFC257 https://t.co/A4nxH4fvXH",FALSE,1,NA,2021-01-24 06:29:59,FALSE,NA,"1353228536807628800",NA,"L639E",0,FALSE,NA,NA
"10242","Conor McGregor right now:
#UFC257 https://t.co/tqwcpsgifZ",FALSE,3,NA,2021-01-24 06:29:59,FALSE,NA,"1353228536635658240",NA,"mattmontoya_",0,FALSE,NA,NA
"10243","I do respect the fact that Conor didn't go all Ronda Rousey and decided to stay in there for post fight announcemen… https://t.co/G9dx8PxKHf",FALSE,1,NA,2021-01-24 06:29:58,TRUE,NA,"1353228534223790080",NA,"NayakSriharsha",0,FALSE,NA,NA
